Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,1.64452e-06
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,1.76
,
,
,
Label,
TIME,CH1
6.1852e-07,-0.392
6.1892e-07,-0.392
6.1932e-07,-0.384
6.1972e-07,-0.368
6.2012e-07,-0.352
6.2052e-07,-0.36
6.2092e-07,-0.36
6.2132e-07,-0.352
6.2172e-07,-0.336
6.2212e-07,-0.32
6.2252e-07,-0.304
6.2292e-07,-0.312
6.2332e-07,-0.32
6.2372e-07,-0.296
6.2412e-07,-0.296
6.2452e-07,-0.28
6.2492e-07,-0.288
6.2532e-07,-0.312
6.2572e-07,-0.32
6.2612e-07,-0.328
6.2652e-07,-0.336
6.2692e-07,-0.336
6.2732e-07,-0.344
6.2772e-07,-0.376
6.2812e-07,-0.392
6.2852e-07,-0.392
6.2892e-07,-0.384
6.2932e-07,-0.376
6.2972e-07,-0.384
6.3012e-07,-0.416
6.3052e-07,-0.424
6.3092e-07,-0.424
6.3132e-07,-0.408
6.3172e-07,-0.408
6.3212e-07,-0.424
6.3252e-07,-0.432
6.3292e-07,-0.432
6.3332e-07,-0.432
6.3372e-07,-0.408
6.3412e-07,-0.392
6.3452e-07,-0.4
6.3492e-07,-0.408
6.3532e-07,-0.4
6.3572e-07,-0.392
6.3612e-07,-0.376
6.3652e-07,-0.376
6.3692e-07,-0.368
6.3732e-07,-0.368
6.3772e-07,-0.36
6.3812e-07,-0.344
6.3852e-07,-0.328
6.3892e-07,-0.32
6.3932e-07,-0.32
6.3972e-07,-0.32
6.4012e-07,-0.304
6.4052e-07,-0.288
6.4092e-07,-0.272
6.4132e-07,-0.296
6.4172e-07,-0.312
6.4212e-07,-0.336
6.4252e-07,-0.336
6.4292e-07,-0.336
6.4332e-07,-0.328
6.4372e-07,-0.36
6.4412e-07,-0.384
6.4452e-07,-0.392
6.4492e-07,-0.4
6.4532e-07,-0.392
6.4572e-07,-0.384
6.4612e-07,-0.4
6.4652e-07,-0.408
6.4692e-07,-0.424
6.4732e-07,-0.416
6.4772e-07,-0.408
6.4812e-07,-0.392
6.4852e-07,-0.408
6.4892e-07,-0.432
6.4932e-07,-0.424
6.4972e-07,-0.408
6.5012e-07,-0.4
6.5052e-07,-0.392
6.5092e-07,-0.4
6.5132e-07,-0.4
6.5172e-07,-0.4
6.5212e-07,-0.384
6.5252e-07,-0.376
6.5292e-07,-0.368
6.5332e-07,-0.368
6.5372e-07,-0.368
6.5412e-07,-0.352
6.5452e-07,-0.336
6.5492e-07,-0.32
6.5532e-07,-0.32
6.5572e-07,-0.328
6.5612e-07,-0.312
6.5652e-07,-0.304
6.5692e-07,-0.296
6.5732e-07,-0.28
6.5772e-07,-0.288
6.5812e-07,-0.296
6.5852e-07,-0.32
6.5892e-07,-0.32
6.5932e-07,-0.328
6.5972e-07,-0.328
6.6012e-07,-0.344
6.6052e-07,-0.376
6.6092e-07,-0.384
6.6132e-07,-0.392
6.6172e-07,-0.384
6.6212e-07,-0.376
6.6252e-07,-0.392
6.6292e-07,-0.408
6.6332e-07,-0.416
6.6372e-07,-0.416
6.6412e-07,-0.4
6.6452e-07,-0.392
6.6492e-07,-0.408
6.6532e-07,-0.416
6.6572e-07,-0.424
6.6612e-07,-0.424
6.6652e-07,-0.4
6.6692e-07,-0.4
6.6732e-07,-0.408
6.6772e-07,-0.408
6.6812e-07,-0.4
6.6852e-07,-0.392
6.6892e-07,-0.384
6.6932e-07,-0.376
6.6972e-07,-0.376
6.7012e-07,-0.376
6.7052e-07,-0.352
6.7092e-07,-0.352
6.7132e-07,-0.336
6.7172e-07,-0.328
6.7212e-07,-0.336
6.7252e-07,-0.328
6.7292e-07,-0.312
6.7332e-07,-0.296
6.7372e-07,-0.288
6.7412e-07,-0.296
6.7452e-07,-0.32
6.7492e-07,-0.328
6.7532e-07,-0.328
6.7572e-07,-0.336
6.7612e-07,-0.352
6.7652e-07,-0.36
6.7692e-07,-0.376
6.7732e-07,-0.392
6.7772e-07,-0.4
6.7812e-07,-0.392
6.7852e-07,-0.392
6.7892e-07,-0.416
6.7932e-07,-0.424
6.7972e-07,-0.424
6.8012e-07,-0.416
6.8052e-07,-0.4
6.8092e-07,-0.4
6.8132e-07,-0.416
6.8172e-07,-0.424
6.8212e-07,-0.424
6.8252e-07,-0.424
6.8292e-07,-0.416
6.8332e-07,-0.4
6.8372e-07,-0.4
6.8412e-07,-0.408
6.8452e-07,-0.408
6.8492e-07,-0.384
6.8532e-07,-0.376
6.8572e-07,-0.376
6.8612e-07,-0.384
6.8652e-07,-0.36
6.8692e-07,-0.352
6.8732e-07,-0.336
6.8772e-07,-0.32
6.8812e-07,-0.328
6.8852e-07,-0.336
6.8892e-07,-0.328
6.8932e-07,-0.312
6.8972e-07,-0.296
6.9012e-07,-0.288
6.9052e-07,-0.288
6.9092e-07,-0.312
6.9132e-07,-0.328
6.9172e-07,-0.328
6.9212e-07,-0.336
6.9252e-07,-0.336
6.9292e-07,-0.36
6.9332e-07,-0.384
6.9372e-07,-0.392
6.9412e-07,-0.4
6.9452e-07,-0.4
6.9492e-07,-0.392
6.9532e-07,-0.408
6.9572e-07,-0.424
6.9612e-07,-0.424
6.9652e-07,-0.432
6.9692e-07,-0.416
6.9732e-07,-0.4
6.9772e-07,-0.424
6.9812e-07,-0.432
6.9852e-07,-0.432
6.9892e-07,-0.432
6.9932e-07,-0.408
6.9972e-07,-0.408
7.0012e-07,-0.408
7.0052e-07,-0.408
7.0092e-07,-0.408
7.0132e-07,-0.4
7.0172e-07,-0.384
7.0212e-07,-0.376
7.0252e-07,-0.4
7.0292e-07,-0.392
7.0332e-07,-0.368
7.0372e-07,-0.352
7.0412e-07,-0.336
7.0452e-07,-0.352
7.0492e-07,-0.344
7.0532e-07,-0.336
7.0572e-07,-0.32
7.0612e-07,-0.304
7.0652e-07,-0.296
7.0692e-07,-0.304
7.0732e-07,-0.32
7.0772e-07,-0.328
7.0812e-07,-0.336
7.0852e-07,-0.344
7.0892e-07,-0.352
7.0932e-07,-0.368
7.0972e-07,-0.384
7.1012e-07,-0.4
7.1052e-07,-0.408
7.1092e-07,-0.384
7.1132e-07,-0.384
7.1172e-07,-0.408
7.1212e-07,-0.432
7.1252e-07,-0.432
7.1292e-07,-0.416
7.1332e-07,-0.408
7.1372e-07,-0.408
7.1412e-07,-0.424
7.1452e-07,-0.432
7.1492e-07,-0.432
7.1532e-07,-0.424
7.1572e-07,-0.416
7.1612e-07,-0.408
7.1652e-07,-0.416
7.1692e-07,-0.408
7.1732e-07,-0.4
7.1772e-07,-0.392
7.1812e-07,-0.376
7.1852e-07,-0.384
7.1892e-07,-0.376
7.1932e-07,-0.368
7.1972e-07,-0.352
7.2012e-07,-0.344
7.2052e-07,-0.328
7.2092e-07,-0.336
7.2132e-07,-0.344
7.2172e-07,-0.328
7.2212e-07,-0.296
7.2252e-07,-0.296
7.2292e-07,-0.288
7.2332e-07,-0.304
7.2372e-07,-0.328
7.2412e-07,-0.336
7.2452e-07,-0.336
7.2492e-07,-0.344
7.2532e-07,-0.352
7.2572e-07,-0.376
7.2612e-07,-0.392
7.2652e-07,-0.408
7.2692e-07,-0.4
7.2732e-07,-0.384
7.2772e-07,-0.392
7.2812e-07,-0.416
7.2852e-07,-0.432
7.2892e-07,-0.432
7.2932e-07,-0.424
7.2972e-07,-0.408
7.3012e-07,-0.4
7.3052e-07,-0.432
7.3092e-07,-0.432
7.3132e-07,-0.432
7.3172e-07,-0.416
7.3212e-07,-0.408
7.3252e-07,-0.408
7.3292e-07,-0.408
7.3332e-07,-0.416
7.3372e-07,-0.4
7.3412e-07,-0.392
7.3452e-07,-0.376
7.3492e-07,-0.376
7.3532e-07,-0.376
7.3572e-07,-0.368
7.3612e-07,-0.352
7.3652e-07,-0.328
7.3692e-07,-0.328
7.3732e-07,-0.32
7.3772e-07,-0.328
7.3812e-07,-0.32
7.3852e-07,-0.304
7.3892e-07,-0.296
7.3932e-07,-0.288
7.3972e-07,-0.312
7.4012e-07,-0.328
7.4052e-07,-0.344
7.4092e-07,-0.344
7.4132e-07,-0.344
7.4172e-07,-0.352
7.4212e-07,-0.384
7.4252e-07,-0.4
7.4292e-07,-0.408
7.4332e-07,-0.4
7.4372e-07,-0.4
7.4412e-07,-0.4
7.4452e-07,-0.424
7.4492e-07,-0.432
7.4532e-07,-0.432
7.4572e-07,-0.416
7.4612e-07,-0.408
7.4652e-07,-0.408
7.4692e-07,-0.432
7.4732e-07,-0.432
7.4772e-07,-0.432
7.4812e-07,-0.416
7.4852e-07,-0.408
7.4892e-07,-0.408
7.4932e-07,-0.408
7.4972e-07,-0.408
7.5012e-07,-0.392
7.5052e-07,-0.384
7.5092e-07,-0.376
7.5132e-07,-0.376
7.5172e-07,-0.376
7.5212e-07,-0.36
7.5252e-07,-0.344
7.5292e-07,-0.336
7.5332e-07,-0.32
7.5372e-07,-0.344
7.5412e-07,-0.336
7.5452e-07,-0.328
7.5492e-07,-0.304
7.5532e-07,-0.288
7.5572e-07,-0.304
7.5612e-07,-0.32
7.5652e-07,-0.352
7.5692e-07,-0.352
7.5732e-07,-0.352
7.5772e-07,-0.352
7.5812e-07,-0.368
7.5852e-07,-0.4
7.5892e-07,-0.416
7.5932e-07,-0.408
7.5972e-07,-0.4
7.6012e-07,-0.392
7.6052e-07,-0.408
7.6092e-07,-0.44
7.6132e-07,-0.448
7.6172e-07,-0.432
7.6212e-07,-0.416
7.6252e-07,-0.4
7.6292e-07,-0.416
7.6332e-07,-0.432
7.6372e-07,-0.432
7.6412e-07,-0.432
7.6452e-07,-0.408
7.6492e-07,-0.4
7.6532e-07,-0.408
7.6572e-07,-0.416
7.6612e-07,-0.416
7.6652e-07,-0.4
7.6692e-07,-0.384
7.6732e-07,-0.368
7.6772e-07,-0.376
7.6812e-07,-0.376
7.6852e-07,-0.36
7.6892e-07,-0.352
7.6932e-07,-0.328
7.6972e-07,-0.312
7.7012e-07,-0.32
7.7052e-07,-0.328
7.7092e-07,-0.312
7.7132e-07,-0.288
7.7172e-07,-0.28
7.7212e-07,-0.296
7.7252e-07,-0.32
7.7292e-07,-0.336
7.7332e-07,-0.336
7.7372e-07,-0.344
7.7412e-07,-0.344
7.7452e-07,-0.36
7.7492e-07,-0.392
7.7532e-07,-0.4
7.7572e-07,-0.408
7.7612e-07,-0.4
7.7652e-07,-0.392
7.7692e-07,-0.408
7.7732e-07,-0.424
7.7772e-07,-0.424
7.7812e-07,-0.424
7.7852e-07,-0.408
7.7892e-07,-0.4
7.7932e-07,-0.416
7.7972e-07,-0.44
7.8012e-07,-0.432
7.8052e-07,-0.432
7.8092e-07,-0.408
7.8132e-07,-0.408
7.8172e-07,-0.416
7.8212e-07,-0.416
7.8252e-07,-0.4
7.8292e-07,-0.392
7.8332e-07,-0.392
7.8372e-07,-0.376
7.8412e-07,-0.376
7.8452e-07,-0.376
7.8492e-07,-0.36
7.8532e-07,-0.352
7.8572e-07,-0.336
7.8612e-07,-0.328
7.8652e-07,-0.336
7.8692e-07,-0.328
7.8732e-07,-0.32
7.8772e-07,-0.304
7.8812e-07,-0.296
7.8852e-07,-0.304
7.8892e-07,-0.336
7.8932e-07,-0.344
7.8972e-07,-0.352
7.9012e-07,-0.352
7.9052e-07,-0.36
7.9092e-07,-0.376
7.9132e-07,-0.408
7.9172e-07,-0.408
7.9212e-07,-0.392
7.9252e-07,-0.392
7.9292e-07,-0.4
7.9332e-07,-0.408
7.9372e-07,-0.44
7.9412e-07,-0.432
7.9452e-07,-0.416
7.9492e-07,-0.408
7.9532e-07,-0.408
7.9572e-07,-0.432
7.9612e-07,-0.44
7.9652e-07,-0.44
7.9692e-07,-0.424
7.9732e-07,-0.416
7.9772e-07,-0.408
7.9812e-07,-0.408
7.9852e-07,-0.416
7.9892e-07,-0.416
7.9932e-07,-0.4
7.9972e-07,-0.384
8.0012e-07,-0.368
8.0052e-07,-0.384
8.0092e-07,-0.368
8.0132e-07,-0.36
8.0172e-07,-0.344
8.0212e-07,-0.32
8.0252e-07,-0.328
8.0292e-07,-0.328
8.0332e-07,-0.328
8.0372e-07,-0.312
8.0412e-07,-0.296
8.0452e-07,-0.288
8.0492e-07,-0.304
8.0532e-07,-0.336
8.0572e-07,-0.352
8.0612e-07,-0.36
8.0652e-07,-0.36
8.0692e-07,-0.36
8.0732e-07,-0.384
8.0772e-07,-0.408
8.0812e-07,-0.416
8.0852e-07,-0.408
8.0892e-07,-0.392
8.0932e-07,-0.4
8.0972e-07,-0.408
8.1012e-07,-0.432
8.1052e-07,-0.432
8.1092e-07,-0.416
8.1132e-07,-0.408
8.1172e-07,-0.392
8.1212e-07,-0.416
8.1252e-07,-0.432
8.1292e-07,-0.432
8.1332e-07,-0.424
8.1372e-07,-0.4
8.1412e-07,-0.392
8.1452e-07,-0.408
8.1492e-07,-0.416
8.1532e-07,-0.408
8.1572e-07,-0.392
8.1612e-07,-0.376
8.1652e-07,-0.368
8.1692e-07,-0.36
8.1732e-07,-0.368
8.1772e-07,-0.352
8.1812e-07,-0.344
8.1852e-07,-0.328
8.1892e-07,-0.328
8.1932e-07,-0.328
8.1972e-07,-0.328
8.2012e-07,-0.312
8.2052e-07,-0.296
8.2092e-07,-0.296
8.2132e-07,-0.304
8.2172e-07,-0.336
8.2212e-07,-0.328
8.2252e-07,-0.344
8.2292e-07,-0.344
8.2332e-07,-0.36
8.2372e-07,-0.376
8.2412e-07,-0.408
8.2452e-07,-0.408
8.2492e-07,-0.416
8.2532e-07,-0.392
8.2572e-07,-0.4
8.2612e-07,-0.424
8.2652e-07,-0.44
8.2692e-07,-0.432
8.2732e-07,-0.416
8.2772e-07,-0.408
8.2812e-07,-0.408
8.2852e-07,-0.424
8.2892e-07,-0.44
8.2932e-07,-0.432
8.2972e-07,-0.424
8.3012e-07,-0.408
8.3052e-07,-0.408
8.3092e-07,-0.408
8.3132e-07,-0.416
8.3172e-07,-0.4
8.3212e-07,-0.384
8.3252e-07,-0.376
8.3292e-07,-0.376
8.3332e-07,-0.376
8.3372e-07,-0.368
8.3412e-07,-0.352
8.3452e-07,-0.344
8.3492e-07,-0.328
8.3532e-07,-0.328
8.3572e-07,-0.336
8.3612e-07,-0.312
8.3652e-07,-0.312
8.3692e-07,-0.296
8.3732e-07,-0.296
8.3772e-07,-0.328
8.3812e-07,-0.344
8.3852e-07,-0.36
8.3892e-07,-0.36
8.3932e-07,-0.368
8.3972e-07,-0.368
8.4012e-07,-0.392
8.4052e-07,-0.416
8.4092e-07,-0.416
8.4132e-07,-0.408
8.4172e-07,-0.4
8.4212e-07,-0.416
8.4252e-07,-0.424
8.4292e-07,-0.44
8.4332e-07,-0.432
8.4372e-07,-0.416
8.4412e-07,-0.408
8.4452e-07,-0.416
8.4492e-07,-0.432
8.4532e-07,-0.448
8.4572e-07,-0.432
8.4612e-07,-0.424
8.4652e-07,-0.4
8.4692e-07,-0.4
8.4732e-07,-0.416
8.4772e-07,-0.416
8.4812e-07,-0.416
8.4852e-07,-0.4
8.4892e-07,-0.376
8.4932e-07,-0.368
8.4972e-07,-0.384
8.5012e-07,-0.368
8.5052e-07,-0.352
8.5092e-07,-0.344
8.5132e-07,-0.328
8.5172e-07,-0.336
8.5212e-07,-0.328
8.5252e-07,-0.32
8.5292e-07,-0.312
8.5332e-07,-0.296
8.5372e-07,-0.304
8.5412e-07,-0.32
8.5452e-07,-0.344
8.5492e-07,-0.352
8.5532e-07,-0.352
8.5572e-07,-0.36
8.5612e-07,-0.376
8.5652e-07,-0.408
8.5692e-07,-0.424
8.5732e-07,-0.424
8.5772e-07,-0.416
8.5812e-07,-0.408
8.5852e-07,-0.416
8.5892e-07,-0.44
8.5932e-07,-0.44
8.5972e-07,-0.44
8.6012e-07,-0.424
8.6052e-07,-0.416
8.6092e-07,-0.424
8.6132e-07,-0.448
8.6172e-07,-0.44
8.6212e-07,-0.432
8.6252e-07,-0.424
8.6292e-07,-0.4
8.6332e-07,-0.408
8.6372e-07,-0.416
8.6412e-07,-0.408
8.6452e-07,-0.4
8.6492e-07,-0.384
8.6532e-07,-0.376
8.6572e-07,-0.376
8.6612e-07,-0.376
8.6652e-07,-0.36
8.6692e-07,-0.344
8.6732e-07,-0.336
8.6772e-07,-0.328
8.6812e-07,-0.328
8.6852e-07,-0.336
8.6892e-07,-0.328
8.6932e-07,-0.32
8.6972e-07,-0.304
8.7012e-07,-0.32
8.7052e-07,-0.352
8.7092e-07,-0.36
8.7132e-07,-0.368
8.7172e-07,-0.368
8.7212e-07,-0.376
8.7252e-07,-0.4
8.7292e-07,-0.424
8.7332e-07,-0.424
8.7372e-07,-0.424
8.7412e-07,-0.408
8.7452e-07,-0.416
8.7492e-07,-0.424
8.7532e-07,-0.44
8.7572e-07,-0.448
8.7612e-07,-0.432
8.7652e-07,-0.416
8.7692e-07,-0.416
8.7732e-07,-0.44
8.7772e-07,-0.448
8.7812e-07,-0.448
8.7852e-07,-0.432
8.7892e-07,-0.416
8.7932e-07,-0.4
8.7972e-07,-0.408
8.8012e-07,-0.424
8.8052e-07,-0.416
8.8092e-07,-0.408
8.8132e-07,-0.376
8.8172e-07,-0.368
8.8212e-07,-0.368
8.8252e-07,-0.376
8.8292e-07,-0.368
8.8332e-07,-0.344
8.8372e-07,-0.336
8.8412e-07,-0.32
8.8452e-07,-0.32
8.8492e-07,-0.328
8.8532e-07,-0.328
8.8572e-07,-0.312
8.8612e-07,-0.312
8.8652e-07,-0.32
8.8692e-07,-0.352
8.8732e-07,-0.376
8.8772e-07,-0.384
8.8812e-07,-0.392
8.8852e-07,-0.392
8.8892e-07,-0.408
8.8932e-07,-0.416
8.8972e-07,-0.432
8.9012e-07,-0.432
8.9052e-07,-0.424
8.9092e-07,-0.424
8.9132e-07,-0.424
8.9172e-07,-0.432
8.9212e-07,-0.44
8.9252e-07,-0.432
8.9292e-07,-0.424
8.9332e-07,-0.432
8.9372e-07,-0.44
8.9412e-07,-0.448
8.9452e-07,-0.44
8.9492e-07,-0.424
8.9532e-07,-0.424
8.9572e-07,-0.424
8.9612e-07,-0.424
8.9652e-07,-0.44
8.9692e-07,-0.424
8.9732e-07,-0.4
8.9772e-07,-0.384
8.9812e-07,-0.368
8.9852e-07,-0.368
8.9892e-07,-0.368
8.9932e-07,-0.36
8.9972e-07,-0.352
9.0012e-07,-0.336
9.0052e-07,-0.32
9.0092e-07,-0.328
9.0132e-07,-0.328
9.0172e-07,-0.328
9.0212e-07,-0.328
9.0252e-07,-0.344
9.0292e-07,-0.344
9.0332e-07,-0.376
9.0372e-07,-0.392
9.0412e-07,-0.4
9.0452e-07,-0.408
9.0492e-07,-0.408
9.0532e-07,-0.416
9.0572e-07,-0.432
9.0612e-07,-0.44
9.0652e-07,-0.448
9.0692e-07,-0.44
9.0732e-07,-0.424
9.0772e-07,-0.432
9.0812e-07,-0.448
9.0852e-07,-0.448
9.0892e-07,-0.44
9.0932e-07,-0.44
9.0972e-07,-0.44
9.1012e-07,-0.448
9.1052e-07,-0.448
9.1092e-07,-0.44
9.1132e-07,-0.424
9.1172e-07,-0.416
9.1212e-07,-0.408
9.1252e-07,-0.424
9.1292e-07,-0.416
9.1332e-07,-0.4
9.1372e-07,-0.376
9.1412e-07,-0.36
9.1452e-07,-0.36
9.1492e-07,-0.36
9.1532e-07,-0.368
9.1572e-07,-0.352
9.1612e-07,-0.328
9.1652e-07,-0.312
9.1692e-07,-0.312
9.1732e-07,-0.32
9.1772e-07,-0.336
9.1812e-07,-0.344
9.1852e-07,-0.336
9.1892e-07,-0.352
9.1932e-07,-0.36
9.1972e-07,-0.384
9.2012e-07,-0.408
9.2052e-07,-0.416
9.2092e-07,-0.408
9.2132e-07,-0.416
9.2172e-07,-0.408
9.2212e-07,-0.432
9.2252e-07,-0.448
9.2292e-07,-0.44
9.2332e-07,-0.432
9.2372e-07,-0.408
9.2412e-07,-0.416
9.2452e-07,-0.44
9.2492e-07,-0.432
9.2532e-07,-0.432
9.2572e-07,-0.432
9.2612e-07,-0.416
9.2652e-07,-0.432
9.2692e-07,-0.424
9.2732e-07,-0.432
9.2772e-07,-0.408
9.2812e-07,-0.416
9.2852e-07,-0.408
9.2892e-07,-0.408
9.2932e-07,-0.408
9.2972e-07,-0.4
9.3012e-07,-0.384
9.3052e-07,-0.368
9.3092e-07,-0.36
9.3132e-07,-0.36
9.3172e-07,-0.36
9.3212e-07,-0.344
9.3252e-07,-0.328
9.3292e-07,-0.32
9.3332e-07,-0.312
9.3372e-07,-0.32
9.3412e-07,-0.344
9.3452e-07,-0.344
9.3492e-07,-0.352
9.3532e-07,-0.352
9.3572e-07,-0.368
9.3612e-07,-0.4
9.3652e-07,-0.408
9.3692e-07,-0.416
9.3732e-07,-0.416
9.3772e-07,-0.408
9.3812e-07,-0.424
9.3852e-07,-0.44
9.3892e-07,-0.448
9.3932e-07,-0.44
9.3972e-07,-0.424
9.4012e-07,-0.424
9.4052e-07,-0.432
9.4092e-07,-0.448
9.4132e-07,-0.448
9.4172e-07,-0.448
9.4212e-07,-0.44
9.4252e-07,-0.424
9.4292e-07,-0.432
9.4332e-07,-0.432
9.4372e-07,-0.424
9.4412e-07,-0.416
9.4452e-07,-0.4
9.4492e-07,-0.392
9.4532e-07,-0.392
9.4572e-07,-0.392
9.4612e-07,-0.376
9.4652e-07,-0.36
9.4692e-07,-0.344
9.4732e-07,-0.344
9.4772e-07,-0.344
9.4812e-07,-0.352
9.4852e-07,-0.328
9.4892e-07,-0.312
9.4932e-07,-0.296
9.4972e-07,-0.304
9.5012e-07,-0.328
9.5052e-07,-0.344
9.5092e-07,-0.36
9.5132e-07,-0.36
9.5172e-07,-0.36
9.5212e-07,-0.384
9.5252e-07,-0.408
9.5292e-07,-0.424
9.5332e-07,-0.416
9.5372e-07,-0.408
9.5412e-07,-0.4
9.5452e-07,-0.416
9.5492e-07,-0.44
9.5532e-07,-0.44
9.5572e-07,-0.432
9.5612e-07,-0.424
9.5652e-07,-0.4
9.5692e-07,-0.424
9.5732e-07,-0.448
9.5772e-07,-0.44
9.5812e-07,-0.432
9.5852e-07,-0.416
9.5892e-07,-0.416
9.5932e-07,-0.424
9.5972e-07,-0.424
9.6012e-07,-0.416
9.6052e-07,-0.408
9.6092e-07,-0.392
9.6132e-07,-0.384
9.6172e-07,-0.392
9.6212e-07,-0.376
9.6252e-07,-0.376
9.6292e-07,-0.352
9.6332e-07,-0.344
9.6372e-07,-0.336
9.6412e-07,-0.344
9.6452e-07,-0.336
9.6492e-07,-0.328
9.6532e-07,-0.32
9.6572e-07,-0.312
9.6612e-07,-0.312
9.6652e-07,-0.336
9.6692e-07,-0.36
9.6732e-07,-0.36
9.6772e-07,-0.368
9.6812e-07,-0.368
9.6852e-07,-0.392
9.6892e-07,-0.424
9.6932e-07,-0.424
9.6972e-07,-0.416
9.7012e-07,-0.416
9.7052e-07,-0.416
9.7092e-07,-0.44
9.7132e-07,-0.448
9.7172e-07,-0.448
9.7212e-07,-0.432
9.7252e-07,-0.416
9.7292e-07,-0.416
9.7332e-07,-0.44
9.7372e-07,-0.448
9.7412e-07,-0.44
9.7452e-07,-0.432
9.7492e-07,-0.416
9.7532e-07,-0.4
9.7572e-07,-0.416
9.7612e-07,-0.416
9.7652e-07,-0.416
9.7692e-07,-0.4
9.7732e-07,-0.384
9.7772e-07,-0.384
9.7812e-07,-0.384
9.7852e-07,-0.384
9.7892e-07,-0.36
9.7932e-07,-0.352
9.7972e-07,-0.344
9.8012e-07,-0.328
9.8052e-07,-0.344
9.8092e-07,-0.336
9.8132e-07,-0.32
9.8172e-07,-0.312
9.8212e-07,-0.32
9.8252e-07,-0.336
9.8292e-07,-0.36
9.8332e-07,-0.376
9.8372e-07,-0.376
9.8412e-07,-0.384
9.8452e-07,-0.392
9.8492e-07,-0.416
9.8532e-07,-0.424
9.8572e-07,-0.432
9.8612e-07,-0.416
9.8652e-07,-0.408
9.8692e-07,-0.416
9.8732e-07,-0.44
9.8772e-07,-0.456
9.8812e-07,-0.448
9.8852e-07,-0.432
9.8892e-07,-0.432
9.8932e-07,-0.424
9.8972e-07,-0.456
9.9012e-07,-0.472
9.9052e-07,-0.464
9.9092e-07,-0.456
9.9132e-07,-0.44
9.9172e-07,-0.432
9.9212e-07,-0.448
9.9252e-07,-0.448
9.9292e-07,-0.432
9.9332e-07,-0.416
9.9372e-07,-0.4
9.9412e-07,-0.392
9.9452e-07,-0.384
9.9492e-07,-0.384
9.9532e-07,-0.368
9.9572e-07,-0.352
9.9612e-07,-0.328
9.9652e-07,-0.328
9.9692e-07,-0.328
9.9732e-07,-0.336
9.9772e-07,-0.328
9.9812e-07,-0.312
9.9852e-07,-0.328
9.9892e-07,-0.336
9.9932e-07,-0.368
9.9972e-07,-0.384
1.0001e-06,-0.384
1.0005e-06,-0.384
1.0009e-06,-0.4
1.0013e-06,-0.416
1.0017e-06,-0.432
1.0021e-06,-0.432
1.0025e-06,-0.432
1.0029e-06,-0.424
1.0033e-06,-0.432
1.0037e-06,-0.448
1.0041e-06,-0.448
1.0045e-06,-0.44
1.0049e-06,-0.432
1.0053e-06,-0.432
1.0057e-06,-0.44
1.0061e-06,-0.448
1.0065e-06,-0.448
1.0069e-06,-0.44
1.0073e-06,-0.424
1.0077e-06,-0.408
1.0081e-06,-0.408
1.0085e-06,-0.424
1.0089e-06,-0.424
1.0093e-06,-0.416
1.0097e-06,-0.392
1.0101e-06,-0.376
1.0105e-06,-0.376
1.0109e-06,-0.376
1.0113e-06,-0.368
1.0117e-06,-0.36
1.0121e-06,-0.352
1.0125e-06,-0.336
1.0129e-06,-0.336
1.0133e-06,-0.344
1.0137e-06,-0.336
1.0141e-06,-0.336
1.0145e-06,-0.328
1.0149e-06,-0.336
1.0153e-06,-0.368
1.0157e-06,-0.384
1.0161e-06,-0.4
1.0165e-06,-0.4
1.0169e-06,-0.4
1.0173e-06,-0.408
1.0177e-06,-0.432
1.0181e-06,-0.44
1.0185e-06,-0.448
1.0189e-06,-0.44
1.0193e-06,-0.432
1.0197e-06,-0.432
1.0201e-06,-0.44
1.0205e-06,-0.448
1.0209e-06,-0.44
1.0213e-06,-0.432
1.0217e-06,-0.44
1.0221e-06,-0.432
1.0225e-06,-0.448
1.0229e-06,-0.448
1.0233e-06,-0.424
1.0237e-06,-0.416
1.0241e-06,-0.408
1.0245e-06,-0.416
1.0249e-06,-0.416
1.0253e-06,-0.416
1.0257e-06,-0.384
1.0261e-06,-0.368
1.0265e-06,-0.36
1.0269e-06,-0.36
1.0273e-06,-0.36
1.0277e-06,-0.352
1.0281e-06,-0.344
1.0285e-06,-0.32
1.0289e-06,-0.312
1.0293e-06,-0.32
1.0297e-06,-0.32
1.0301e-06,-0.328
1.0305e-06,-0.328
1.0309e-06,-0.336
1.0313e-06,-0.344
1.0317e-06,-0.368
1.0321e-06,-0.384
1.0325e-06,-0.4
1.0329e-06,-0.408
1.0333e-06,-0.408
1.0337e-06,-0.4
1.0341e-06,-0.424
1.0345e-06,-0.448
1.0349e-06,-0.44
1.0353e-06,-0.44
1.0357e-06,-0.424
1.0361e-06,-0.416
1.0365e-06,-0.432
1.0369e-06,-0.448
1.0373e-06,-0.448
1.0377e-06,-0.448
1.0381e-06,-0.44
1.0385e-06,-0.44
1.0389e-06,-0.456
1.0393e-06,-0.448
1.0397e-06,-0.44
1.0401e-06,-0.432
1.0405e-06,-0.424
1.0409e-06,-0.424
1.0413e-06,-0.424
1.0417e-06,-0.424
1.0421e-06,-0.4
1.0425e-06,-0.384
1.0429e-06,-0.368
