Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0091.csv,1.597899999999998e-08,,84,,0,,50 ohms time 0.05
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0092.csv,1.4221333333333373e-08,,93,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0093.csv,1.4508000000000026e-08,,90,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0094.csv,1.4270666666666657e-08,,86,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0095.csv,1.4414666666666664e-08,,93,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0096.csv,1.4409333333333354e-08,,94,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0097.csv,6.053333333333392e-10,,20,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0098.csv,6.133333333333248e-10,,49,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0099.csv,1.419966666666666e-08,,92,,0,,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0100.csv,1.6021333333333374e-08,,98,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0137.csv,7.406433333333332e-08,,92,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0138.csv,7.2395e-08,,79,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0139.csv,7.311800000000002e-08,,96,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0140.csv,7.263199999999997e-08,,93,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0141.csv,7.044533333333336e-08,,88,,0,,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0142.csv,7.004366666666667e-08,,84,,0,,50 ohms time 0.01
