Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 191V,0.5,0,0.0,20.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0193.csv,6.937480266666671e-08,6.937480266666671e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0241.csv,2.805293333333369e-09,2.805293333333369e-09,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0245.csv,3.199549333333277e-09,3.199549333333277e-09,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0293.csv,1.112335199999996e-08,1.112335199999996e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0294.csv,1.0819500000000033e-08,1.0819500000000033e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0299.csv,1.113287466666668e-08,1.113287466666668e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0305.csv,1.0770242666666646e-08,1.0770242666666646e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 110V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0308.csv,1.0479284000000012e-08,1.0479284000000012e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0354.csv,3.7011206666666723e-08,3.7011206666666723e-08,0,0,0,0,50 ohms time 0.01
,SiC,1.0,Electron 191V,0.5,0,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0355.csv,3.6402933333333326e-08,3.6402933333333326e-08,0,0,0,0,50 ohms time 0.01
